modelo,familia,origen,paso,real,pronostico,error
Ingenuo,referencia,2015-12-01 00:00:00,1,1.7843989699940277,1.8907830514311774,0.10638408143714972
Ingenuo estacional,referencia,2015-12-01 00:00:00,1,1.7843989699940277,3.013419493067704,1.2290205230736762
Deriva,referencia,2015-12-01 00:00:00,1,1.7843989699940277,1.871535825612732,0.08713685561870421
AR(1),Box-Jenkins,2015-12-01 00:00:00,1,1.7843989699940277,2.7366732671976792,0.9522742972036515
AR(12),Box-Jenkins,2015-12-01 00:00:00,1,1.7843989699940277,2.8851745780334515,1.1007756080394238
MA(2),Box-Jenkins,2015-12-01 00:00:00,1,1.7843989699940277,3.340354877104479,1.5559559071104512
"ARMA(2,2)",Box-Jenkins,2015-12-01 00:00:00,1,1.7843989699940277,2.3899723082353246,0.6055733382412969
"ARIMA(1,1,1)",Box-Jenkins,2015-12-01 00:00:00,1,1.7843989699940277,2.216290096078162,0.4318911260841345
"ARIMA(2,1,2)",Box-Jenkins,2015-12-01 00:00:00,1,1.7843989699940277,2.2385056076263785,0.4541066376323508
"SARIMA(1,1,1)(1,1,1,12)",estacional,2015-12-01 00:00:00,1,1.7843989699940277,2.330068479150789,0.5456695091567614
"SARIMA(2,1,1)(0,1,1,12)",estacional,2015-12-01 00:00:00,1,1.7843989699940277,1.9872261833400438,0.20282721334601606
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2015-12-01 00:00:00,1,1.7843989699940277,2.330068479150789,0.5456695091567614
Ridge sobre rezagos,regularizado,2015-12-01 00:00:00,1,1.7843989699940277,2.893733505345689,1.1093345353516613
Random Forest,aprendizaje,2015-12-01 00:00:00,1,1.7843989699940277,2.029700943120466,0.2453019731264381
MLP,aprendizaje,2015-12-01 00:00:00,1,1.7843989699940277,2.0626286615958325,0.2782296916018048
LSTM(16) v12,red neuronal,2015-12-01 00:00:00,1,1.7843989699940277,2.6391217167350733,0.8547227467410456
LSTM(32) v24,red neuronal,2015-12-01 00:00:00,1,1.7843989699940277,3.0758989473672402,1.2914999773732125
CNN 1D v12,red neuronal,2015-12-01 00:00:00,1,1.7843989699940277,3.0345044520455593,1.2501054820515316
CNN 1D v24,red neuronal,2015-12-01 00:00:00,1,1.7843989699940277,4.009318648205543,2.2249196782115153
Ingenuo,referencia,2016-01-01 00:00:00,1,4.451860851829181,1.7843989699940277,-2.6674618818351536
Ingenuo estacional,referencia,2016-01-01 00:00:00,1,4.451860851829181,2.442365981281558,-2.0094948705476234
Deriva,referencia,2016-01-01 00:00:00,1,4.451860851829181,1.764425603712093,-2.6874352481170884
AR(1),Box-Jenkins,2016-01-01 00:00:00,1,4.451860851829181,2.646604078045546,-1.8052567737836354
AR(12),Box-Jenkins,2016-01-01 00:00:00,1,4.451860851829181,2.9941003599185265,-1.4577604919106548
MA(2),Box-Jenkins,2016-01-01 00:00:00,1,4.451860851829181,3.184126458971649,-1.2677343928575322
"ARMA(2,2)",Box-Jenkins,2016-01-01 00:00:00,1,4.451860851829181,2.242844799085288,-2.2090160527438933
"ARIMA(1,1,1)",Box-Jenkins,2016-01-01 00:00:00,1,4.451860851829181,1.9659461239294562,-2.485914727899725
"ARIMA(2,1,2)",Box-Jenkins,2016-01-01 00:00:00,1,4.451860851829181,1.9361020911578781,-2.515758760671303
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-01-01 00:00:00,1,4.451860851829181,2.340452994542055,-2.1114078572871264
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-01-01 00:00:00,1,4.451860851829181,1.914050976770869,-2.5378098750583122
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-01-01 00:00:00,1,4.451860851829181,2.340452994542055,-2.1114078572871264
Ridge sobre rezagos,regularizado,2016-01-01 00:00:00,1,4.451860851829181,2.9925988117660047,-1.4592620400631766
Random Forest,aprendizaje,2016-01-01 00:00:00,1,4.451860851829181,2.2741405008135605,-2.177720351015621
MLP,aprendizaje,2016-01-01 00:00:00,1,4.451860851829181,2.8536846841261183,-1.598176167703063
LSTM(16) v12,red neuronal,2016-01-01 00:00:00,1,4.451860851829181,2.359733854837902,-2.0921269969912792
LSTM(32) v24,red neuronal,2016-01-01 00:00:00,1,4.451860851829181,2.9665295213632454,-1.485331330465936
CNN 1D v12,red neuronal,2016-01-01 00:00:00,1,4.451860851829181,2.9694567448066715,-1.4824041070225098
CNN 1D v24,red neuronal,2016-01-01 00:00:00,1,4.451860851829181,4.0173796943349265,-0.43448115749425487
Ingenuo,referencia,2016-02-01 00:00:00,1,1.195828475280969,4.451860851829181,3.2560323765482124
Ingenuo estacional,referencia,2016-02-01 00:00:00,1,1.195828475280969,3.0419559980356503,1.8461275227546814
Deriva,referencia,2016-02-01 00:00:00,1,1.195828475280969,4.454097694209371,3.258269218928402
AR(1),Box-Jenkins,2016-02-01 00:00:00,1,1.195828475280969,4.455046784250388,3.2592183089694187
AR(12),Box-Jenkins,2016-02-01 00:00:00,1,1.195828475280969,3.4653607991531876,2.2695323238722187
MA(2),Box-Jenkins,2016-02-01 00:00:00,1,1.195828475280969,4.470968903704069,3.2751404284231
"ARMA(2,2)",Box-Jenkins,2016-02-01 00:00:00,1,1.195828475280969,3.074332738836647,1.8785042635556781
"ARIMA(1,1,1)",Box-Jenkins,2016-02-01 00:00:00,1,1.195828475280969,2.842656254343812,1.6468277790628432
"ARIMA(2,1,2)",Box-Jenkins,2016-02-01 00:00:00,1,1.195828475280969,3.1024967814705615,1.9066683061895926
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-02-01 00:00:00,1,1.195828475280969,2.9186837522610904,1.7228552769801215
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-02-01 00:00:00,1,1.195828475280969,2.7962961033215112,1.6004676280405423
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-02-01 00:00:00,1,1.195828475280969,2.9186837522610904,1.7228552769801215
Ridge sobre rezagos,regularizado,2016-02-01 00:00:00,1,1.195828475280969,3.4595829323812115,2.2637544571002426
Random Forest,aprendizaje,2016-02-01 00:00:00,1,1.195828475280969,3.7486239320775816,2.5527954567966127
MLP,aprendizaje,2016-02-01 00:00:00,1,1.195828475280969,4.234777449614392,3.0389489743334233
LSTM(16) v12,red neuronal,2016-02-01 00:00:00,1,1.195828475280969,2.6924993523670073,1.4966708770860384
LSTM(32) v24,red neuronal,2016-02-01 00:00:00,1,1.195828475280969,3.1123032015438454,1.9164747262628765
CNN 1D v12,red neuronal,2016-02-01 00:00:00,1,1.195828475280969,3.0123541992596365,1.8165257239786676
CNN 1D v24,red neuronal,2016-02-01 00:00:00,1,1.195828475280969,4.032020684351581,2.836192209070612
Ingenuo,referencia,2016-03-01 00:00:00,1,2.884803634105615,1.195828475280969,-1.688975158824646
Ingenuo estacional,referencia,2016-03-01 00:00:00,1,2.884803634105615,3.4523202516272278,0.5675166175216129
Deriva,referencia,2016-03-01 00:00:00,1,2.884803634105615,1.171358192915844,-1.7134454411897708
AR(1),Box-Jenkins,2016-03-01 00:00:00,1,2.884803634105615,2.2648752023785166,-0.6199284317270983
AR(12),Box-Jenkins,2016-03-01 00:00:00,1,2.884803634105615,2.69489441854152,-0.18990921556409512
MA(2),Box-Jenkins,2016-03-01 00:00:00,1,2.884803634105615,3.4455016082299506,0.5606979741243356
"ARMA(2,2)",Box-Jenkins,2016-03-01 00:00:00,1,2.884803634105615,3.153691888382828,0.2688882542772131
"ARIMA(1,1,1)",Box-Jenkins,2016-03-01 00:00:00,1,2.884803634105615,2.687471320978515,-0.1973323131271001
"ARIMA(2,1,2)",Box-Jenkins,2016-03-01 00:00:00,1,2.884803634105615,2.248981250998824,-0.6358223831067908
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-03-01 00:00:00,1,2.884803634105615,2.3780060317099827,-0.5067976023956322
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-03-01 00:00:00,1,2.884803634105615,2.328503615612063,-0.5563000184935518
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-03-01 00:00:00,1,2.884803634105615,2.3780060317099827,-0.5067976023956322
Ridge sobre rezagos,regularizado,2016-03-01 00:00:00,1,2.884803634105615,2.698445377033471,-0.18635825707214382
Random Forest,aprendizaje,2016-03-01 00:00:00,1,2.884803634105615,2.610492744052042,-0.2743108900535729
MLP,aprendizaje,2016-03-01 00:00:00,1,2.884803634105615,3.8674424352669545,0.9826388011613396
LSTM(16) v12,red neuronal,2016-03-01 00:00:00,1,2.884803634105615,2.432456398191901,-0.45234723591371395
LSTM(32) v24,red neuronal,2016-03-01 00:00:00,1,2.884803634105615,2.9483529795973187,0.06354934549170377
CNN 1D v12,red neuronal,2016-03-01 00:00:00,1,2.884803634105615,2.8677793144186463,-0.017024319686968603
CNN 1D v24,red neuronal,2016-03-01 00:00:00,1,2.884803634105615,4.029257201935972,1.1444535678303573
Ingenuo,referencia,2016-04-01 00:00:00,1,1.809679601898706,2.884803634105615,1.0751240322069089
Ingenuo estacional,referencia,2016-04-01 00:00:00,1,1.809679601898706,3.5082020198863972,1.6985224179876912
Deriva,referencia,2016-04-01 00:00:00,1,1.809679601898706,2.8742638024818703,1.0645842005831643
AR(1),Box-Jenkins,2016-04-01 00:00:00,1,1.809679601898706,3.397149364453855,1.5874697625551488
AR(12),Box-Jenkins,2016-04-01 00:00:00,1,1.809679601898706,3.0702673955780853,1.2605877936793792
MA(2),Box-Jenkins,2016-04-01 00:00:00,1,1.809679601898706,3.079169938619354,1.269490336720648
"ARMA(2,2)",Box-Jenkins,2016-04-01 00:00:00,1,1.809679601898706,2.7320049503702104,0.9223253484715044
"ARIMA(1,1,1)",Box-Jenkins,2016-04-01 00:00:00,1,1.809679601898706,2.3421862539654836,0.5325066520667776
"ARIMA(2,1,2)",Box-Jenkins,2016-04-01 00:00:00,1,1.809679601898706,2.8360523449022943,1.0263727430035883
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-04-01 00:00:00,1,1.809679601898706,2.167745179430287,0.3580655775315811
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-04-01 00:00:00,1,1.809679601898706,3.0457040038805134,1.2360244019818074
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-04-01 00:00:00,1,1.809679601898706,2.167745179430287,0.3580655775315811
Ridge sobre rezagos,regularizado,2016-04-01 00:00:00,1,1.809679601898706,3.0669280552537894,1.2572484533550834
Random Forest,aprendizaje,2016-04-01 00:00:00,1,1.809679601898706,2.8898224861735793,1.0801428842748733
MLP,aprendizaje,2016-04-01 00:00:00,1,1.809679601898706,4.1099792632074905,2.3002996613087845
LSTM(16) v12,red neuronal,2016-04-01 00:00:00,1,1.809679601898706,2.5999685360472533,0.7902889341485473
LSTM(32) v24,red neuronal,2016-04-01 00:00:00,1,1.809679601898706,2.9600899611588964,1.1504103592601904
CNN 1D v12,red neuronal,2016-04-01 00:00:00,1,1.809679601898706,2.8207781696487775,1.0110985677500715
CNN 1D v24,red neuronal,2016-04-01 00:00:00,1,1.809679601898706,4.007164256112706,2.1974846542139996
Ingenuo,referencia,2016-05-01 00:00:00,1,2.341450844397075,1.809679601898706,-0.5317712424983689
Ingenuo estacional,referencia,2016-05-01 00:00:00,1,2.341450844397075,4.071827008591922,1.7303761641948467
Deriva,referencia,2016-05-01 00:00:00,1,2.341450844397075,1.7905544138186456,-0.5508964305784294
AR(1),Box-Jenkins,2016-05-01 00:00:00,1,2.341450844397075,2.663265634773286,0.32181479037621097
AR(12),Box-Jenkins,2016-05-01 00:00:00,1,2.341450844397075,2.044442250371539,-0.2970085940255358
MA(2),Box-Jenkins,2016-05-01 00:00:00,1,2.341450844397075,3.6388894212671934,1.2974385768701184
"ARMA(2,2)",Box-Jenkins,2016-05-01 00:00:00,1,2.341450844397075,2.5546542198818387,0.21320337548476376
"ARIMA(1,1,1)",Box-Jenkins,2016-05-01 00:00:00,1,2.341450844397075,2.305625472741324,-0.03582537165575106
"ARIMA(2,1,2)",Box-Jenkins,2016-05-01 00:00:00,1,2.341450844397075,1.8003678920061477,-0.5410829523909273
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-05-01 00:00:00,1,2.341450844397075,2.091610911594035,-0.24983993280303984
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-05-01 00:00:00,1,2.341450844397075,1.7054438693506615,-0.6360069750464135
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-05-01 00:00:00,1,2.341450844397075,2.091610911594035,-0.24983993280303984
Ridge sobre rezagos,regularizado,2016-05-01 00:00:00,1,2.341450844397075,2.0614931904410203,-0.27995765395605465
Random Forest,aprendizaje,2016-05-01 00:00:00,1,2.341450844397075,2.641751265104883,0.30030042070780816
MLP,aprendizaje,2016-05-01 00:00:00,1,2.341450844397075,1.2235712900691627,-1.1178795543279123
LSTM(16) v12,red neuronal,2016-05-01 00:00:00,1,2.341450844397075,2.3783286678056874,0.03687782340861245
LSTM(32) v24,red neuronal,2016-05-01 00:00:00,1,2.341450844397075,2.877055843277829,0.5356049988807539
CNN 1D v12,red neuronal,2016-05-01 00:00:00,1,2.341450844397075,2.6698609281777284,0.3284100837806534
CNN 1D v24,red neuronal,2016-05-01 00:00:00,1,2.341450844397075,4.0076651288477905,1.6662142844507155
Ingenuo,referencia,2016-06-01 00:00:00,1,-1.5739129122687823,2.341450844397075,3.9153637566658572
Ingenuo estacional,referencia,2016-06-01 00:00:00,1,-1.5739129122687823,4.55405187888227,6.127964791151053
Deriva,referencia,2016-06-01 00:00:00,1,-1.5739129122687823,2.326732827761642,3.9006457400304244
AR(1),Box-Jenkins,2016-06-01 00:00:00,1,-1.5739129122687823,3.0116601111538155,4.585573023422597
AR(12),Box-Jenkins,2016-06-01 00:00:00,1,-1.5739129122687823,2.322817627953506,3.8967305402222885
MA(2),Box-Jenkins,2016-06-01 00:00:00,1,-1.5739129122687823,3.3654753500788166,4.939388262347599
"ARMA(2,2)",Box-Jenkins,2016-06-01 00:00:00,1,-1.5739129122687823,2.44629108890966,4.020204001178442
"ARIMA(1,1,1)",Box-Jenkins,2016-06-01 00:00:00,1,-1.5739129122687823,2.1777083025119177,3.7516212147807
"ARIMA(2,1,2)",Box-Jenkins,2016-06-01 00:00:00,1,-1.5739129122687823,2.6209860921279793,4.1948990043967616
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-06-01 00:00:00,1,-1.5739129122687823,1.8769489557362538,3.450861868005036
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-06-01 00:00:00,1,-1.5739129122687823,2.868701334742703,4.442614247011486
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-06-01 00:00:00,1,-1.5739129122687823,1.8769489557362538,3.450861868005036
Ridge sobre rezagos,regularizado,2016-06-01 00:00:00,1,-1.5739129122687823,2.3294028187372544,3.9033157310060367
Random Forest,aprendizaje,2016-06-01 00:00:00,1,-1.5739129122687823,1.9104379379519827,3.484350850220765
MLP,aprendizaje,2016-06-01 00:00:00,1,-1.5739129122687823,0.688908024515407,2.2628209367841894
LSTM(16) v12,red neuronal,2016-06-01 00:00:00,1,-1.5739129122687823,2.385269416790125,3.9591823290589074
LSTM(32) v24,red neuronal,2016-06-01 00:00:00,1,-1.5739129122687823,2.8413380016690892,4.4152509139378715
CNN 1D v12,red neuronal,2016-06-01 00:00:00,1,-1.5739129122687823,2.5687483320741578,4.14266124434294
CNN 1D v24,red neuronal,2016-06-01 00:00:00,1,-1.5739129122687823,3.9798389091211854,5.553751821389968
Ingenuo,referencia,2016-07-01 00:00:00,1,3.3639592395552143,-1.5739129122687823,-4.9378721518239965
Ingenuo estacional,referencia,2016-07-01 00:00:00,1,3.3639592395552143,3.7801731018005214,0.4162138622453071
Deriva,referencia,2016-07-01 00:00:00,1,3.3639592395552143,-1.6195884347774725,-4.983547674332687
AR(1),Box-Jenkins,2016-07-01 00:00:00,1,3.3639592395552143,0.2778454211738348,-3.0861138183813797
AR(12),Box-Jenkins,2016-07-01 00:00:00,1,3.3639592395552143,1.1804185915376368,-2.183540648017577
MA(2),Box-Jenkins,2016-07-01 00:00:00,1,3.3639592395552143,1.65515676772683,-1.7088024718283843
"ARMA(2,2)",Box-Jenkins,2016-07-01 00:00:00,1,3.3639592395552143,1.2919428494978737,-2.0720163900573407
"ARIMA(1,1,1)",Box-Jenkins,2016-07-01 00:00:00,1,3.3639592395552143,0.8967619394438251,-2.467197300111389
"ARIMA(2,1,2)",Box-Jenkins,2016-07-01 00:00:00,1,3.3639592395552143,0.7258409586691341,-2.63811828088608
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-07-01 00:00:00,1,3.3639592395552143,0.7903216272064615,-2.5736376123487528
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-07-01 00:00:00,1,3.3639592395552143,0.38416560606112027,-2.979793633494094
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-07-01 00:00:00,1,3.3639592395552143,0.7903216272064615,-2.5736376123487528
Ridge sobre rezagos,regularizado,2016-07-01 00:00:00,1,3.3639592395552143,1.1964721471649291,-2.167487092390285
Random Forest,aprendizaje,2016-07-01 00:00:00,1,3.3639592395552143,1.8659359092955097,-1.4980233302597046
MLP,aprendizaje,2016-07-01 00:00:00,1,3.3639592395552143,1.7183326458053045,-1.6456265937499097
LSTM(16) v12,red neuronal,2016-07-01 00:00:00,1,3.3639592395552143,1.8983198718106014,-1.465639367744613
LSTM(32) v24,red neuronal,2016-07-01 00:00:00,1,3.3639592395552143,2.495786837947624,-0.8681724016075902
CNN 1D v12,red neuronal,2016-07-01 00:00:00,1,3.3639592395552143,2.2849432008442827,-1.0790160387109315
CNN 1D v24,red neuronal,2016-07-01 00:00:00,1,3.3639592395552143,3.9431843029087537,0.5792250633535394
Ingenuo,referencia,2016-08-01 00:00:00,1,2.3546499730892956,3.3639592395552143,1.0093092664659187
Ingenuo estacional,referencia,2016-08-01 00:00:00,1,2.3546499730892956,2.800259272112071,0.4456092990227756
Deriva,referencia,2016-08-01 00:00:00,1,2.3546499730892956,3.357524249915285,1.0028742768259895
AR(1),Box-Jenkins,2016-08-01 00:00:00,1,2.3546499730892956,3.692461042564209,1.3378110694749132
AR(12),Box-Jenkins,2016-08-01 00:00:00,1,2.3546499730892956,2.03971024967416,-0.31493972341513565
MA(2),Box-Jenkins,2016-08-01 00:00:00,1,2.3546499730892956,3.317669635067948,0.9630196619786524
"ARMA(2,2)",Box-Jenkins,2016-08-01 00:00:00,1,2.3546499730892956,1.163306195915773,-1.1913437771735227
"ARIMA(1,1,1)",Box-Jenkins,2016-08-01 00:00:00,1,2.3546499730892956,0.9611697133908912,-1.3934802596984044
"ARIMA(2,1,2)",Box-Jenkins,2016-08-01 00:00:00,1,2.3546499730892956,1.0132149415298022,-1.3414350315594934
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-08-01 00:00:00,1,2.3546499730892956,0.884524584982878,-1.4701253881064176
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-08-01 00:00:00,1,2.3546499730892956,0.9772415998379889,-1.3774083732513067
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-08-01 00:00:00,1,2.3546499730892956,0.884524584982878,-1.4701253881064176
Ridge sobre rezagos,regularizado,2016-08-01 00:00:00,1,2.3546499730892956,2.0555624908673,-0.29908748222199577
Random Forest,aprendizaje,2016-08-01 00:00:00,1,2.3546499730892956,1.7707709926880193,-0.5838789804012763
MLP,aprendizaje,2016-08-01 00:00:00,1,2.3546499730892956,3.1779951949059995,0.8233452218167039
LSTM(16) v12,red neuronal,2016-08-01 00:00:00,1,2.3546499730892956,2.226934664787399,-0.1277153083018967
LSTM(32) v24,red neuronal,2016-08-01 00:00:00,1,2.3546499730892956,2.639134425992135,0.28448445290283964
CNN 1D v12,red neuronal,2016-08-01 00:00:00,1,2.3546499730892956,2.2115963825548226,-0.14305359053447297
CNN 1D v24,red neuronal,2016-08-01 00:00:00,1,2.3546499730892956,3.925422119413198,1.5707721463239026
Ingenuo,referencia,2016-09-01 00:00:00,1,1.3254548911656672,2.3546499730892956,1.0291950819236284
Ingenuo estacional,referencia,2016-09-01 00:00:00,1,1.3254548911656672,2.279423115396906,0.9539682242312386
Deriva,referencia,2016-09-01 00:00:00,1,1.3254548911656672,2.3403800281616634,1.0149251369959962
AR(1),Box-Jenkins,2016-09-01 00:00:00,1,1.3254548911656672,3.018231206909399,1.6927763157437319
AR(12),Box-Jenkins,2016-09-01 00:00:00,1,1.3254548911656672,2.402123404992879,1.0766685138272116
MA(2),Box-Jenkins,2016-09-01 00:00:00,1,1.3254548911656672,4.440881173146425,3.115426281980758
"ARMA(2,2)",Box-Jenkins,2016-09-01 00:00:00,1,1.3254548911656672,2.429291787630777,1.10383689646511
"ARIMA(1,1,1)",Box-Jenkins,2016-09-01 00:00:00,1,1.3254548911656672,2.1473039340527955,0.8218490428871283
"ARIMA(2,1,2)",Box-Jenkins,2016-09-01 00:00:00,1,1.3254548911656672,1.6724296955378324,0.3469748043721652
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-09-01 00:00:00,1,1.3254548911656672,2.484017829067737,1.1585629379020697
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-09-01 00:00:00,1,1.3254548911656672,1.2096058127341052,-0.115849078431562
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-09-01 00:00:00,1,1.3254548911656672,2.484017829067737,1.1585629379020697
Ridge sobre rezagos,regularizado,2016-09-01 00:00:00,1,1.3254548911656672,2.4026630115406595,1.0772081203749924
Random Forest,aprendizaje,2016-09-01 00:00:00,1,1.3254548911656672,2.656800035796829,1.331345144631162
MLP,aprendizaje,2016-09-01 00:00:00,1,1.3254548911656672,3.5850343305732526,2.2595794394075854
LSTM(16) v12,red neuronal,2016-09-01 00:00:00,1,1.3254548911656672,2.278003804215224,0.952548913049557
LSTM(32) v24,red neuronal,2016-09-01 00:00:00,1,1.3254548911656672,2.658298897951563,1.332844006785896
CNN 1D v12,red neuronal,2016-09-01 00:00:00,1,1.3254548911656672,2.1584253726674643,0.8329704815017971
CNN 1D v24,red neuronal,2016-09-01 00:00:00,1,1.3254548911656672,3.9295646088517526,2.6041097176860855
Ingenuo,referencia,2016-10-01 00:00:00,1,3.0802989422748617,1.3254548911656672,-1.7548440511091945
Ingenuo estacional,referencia,2016-10-01 00:00:00,1,3.0802989422748617,2.2982527166686806,-0.7820462256061811
Deriva,referencia,2016-10-01 00:00:00,1,3.0802989422748617,1.303317309517136,-1.7769816327577257
AR(1),Box-Jenkins,2016-10-01 00:00:00,1,3.0802989422748617,2.3154391302905855,-0.7648598119842762
AR(12),Box-Jenkins,2016-10-01 00:00:00,1,3.0802989422748617,2.7262941025588665,-0.35400483971599517
MA(2),Box-Jenkins,2016-10-01 00:00:00,1,3.0802989422748617,2.6125631550275177,-0.467735787247344
"ARMA(2,2)",Box-Jenkins,2016-10-01 00:00:00,1,3.0802989422748617,2.506426711560846,-0.5738722307140156
"ARIMA(1,1,1)",Box-Jenkins,2016-10-01 00:00:00,1,3.0802989422748617,1.9284742354567674,-1.1518247068180942
"ARIMA(2,1,2)",Box-Jenkins,2016-10-01 00:00:00,1,3.0802989422748617,2.3159943053271563,-0.7643046369477053
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-10-01 00:00:00,1,3.0802989422748617,2.003033122000958,-1.0772658202739036
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-10-01 00:00:00,1,3.0802989422748617,2.4335686324499712,-0.6467303098248904
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-10-01 00:00:00,1,3.0802989422748617,2.003033122000958,-1.0772658202739036
Ridge sobre rezagos,regularizado,2016-10-01 00:00:00,1,3.0802989422748617,2.7147539833135577,-0.365544958961304
Random Forest,aprendizaje,2016-10-01 00:00:00,1,3.0802989422748617,3.002828339636343,-0.07747060263851857
MLP,aprendizaje,2016-10-01 00:00:00,1,3.0802989422748617,4.5227974715750285,1.4424985293001669
LSTM(16) v12,red neuronal,2016-10-01 00:00:00,1,3.0802989422748617,2.1418787826881323,-0.9384201595867294
LSTM(32) v24,red neuronal,2016-10-01 00:00:00,1,3.0802989422748617,2.6021256529920915,-0.47817328928277014
CNN 1D v12,red neuronal,2016-10-01 00:00:00,1,3.0802989422748617,2.125971709453419,-0.9543272328214427
CNN 1D v24,red neuronal,2016-10-01 00:00:00,1,3.0802989422748617,3.9258506918041345,0.8455517495292728
Ingenuo,referencia,2016-11-01 00:00:00,1,3.250508638379501,3.0802989422748617,-0.17020969610463954
Ingenuo estacional,referencia,2016-11-01 00:00:00,1,3.250508638379501,1.8907830514311774,-1.3597255869483238
Deriva,referencia,2016-11-01 00:00:00,1,3.250508638379501,3.0718304501090823,-0.17867818827041893
AR(1),Box-Jenkins,2016-11-01 00:00:00,1,3.250508638379501,3.4848518442619305,0.2343432058824293
AR(12),Box-Jenkins,2016-11-01 00:00:00,1,3.250508638379501,3.372225832112653,0.1217171937331516
MA(2),Box-Jenkins,2016-11-01 00:00:00,1,3.250508638379501,3.4464937588421702,0.19598512046266903
"ARMA(2,2)",Box-Jenkins,2016-11-01 00:00:00,1,3.250508638379501,2.5774198393612386,-0.6730887990182626
"ARIMA(1,1,1)",Box-Jenkins,2016-11-01 00:00:00,1,3.250508638379501,2.137153169079313,-1.1133554693001884
"ARIMA(2,1,2)",Box-Jenkins,2016-11-01 00:00:00,1,3.250508638379501,2.402414052450338,-0.8480945859291631
"SARIMA(1,1,1)(1,1,1,12)",estacional,2016-11-01 00:00:00,1,3.250508638379501,2.4942932906419215,-0.7562153477375797
"SARIMA(2,1,1)(0,1,1,12)",estacional,2016-11-01 00:00:00,1,3.250508638379501,1.9832046164115171,-1.267304021967984
"SARIMAX(1,1,1)(1,1,1,12)+COVID",estacional,2016-11-01 00:00:00,1,3.250508638379501,2.4942932906419215,-0.7562153477375797
Ridge sobre rezagos,regularizado,2016-11-01 00:00:00,1,3.250508638379501,3.358473488591571,0.10796485021206959
Random Forest,aprendizaje,2016-11-01 00:00:00,1,3.250508638379501,2.5571573631616813,-0.6933512752178199
MLP,aprendizaje,2016-11-01 00:00:00,1,3.250508638379501,5.2386093649156615,1.9881007265361603
LSTM(16) v12,red neuronal,2016-11-01 00:00:00,1,3.250508638379501,2.327214916730558,-0.9232937216489434
LSTM(32) v24,red neuronal,2016-11-01 00:00:00,1,3.250508638379501,2.7079665874964505,-0.5425420508830507
CNN 1D v12,red neuronal,2016-11-01 00:00:00,1,3.250508638379501,2.189422915025887,-1.0610857233536142
CNN 1D v24,red neuronal,2016-11-01 00:00:00,1,3.250508638379501,3.9244674086787645,0.6739587702992633
Ingenuo,referencia,2016-12-01 00:00:00,1,1.4471669469336979,3.250508638379501,1.8033416914458034
Ingenuo estacional,referencia,2016-12-01 00:00:00,1,1.4471669469336979,1.7843989699940277,0.33723202306032984
Deriva,referencia,2016-12-01 00:00:00,1,1.4471669469336979,3.2434041018493738,1.796237154915676
AR(1),Box-Jenkins,2016-12-01 00:00:00,1,1.4471669469336979,3.5945408181791874,2.1473738712454895
AR(12),Box-Jenkins,2016-12-01 00:00:00,1,1.4471669469336979,2.7334394024647857,1.2862724555310878
MA(2),Box-Jenkins,2016-12-01 00:00:00,1,1.4471669469336979,4.292979752739226,2.8458128058055285
"ARMA(2,2)",Box-Jenkins,2016-12-01 00:00:00,1,1.4471669469336979,3.0939777055527458,1.646810758619048
"ARIMA(1,1,1)",Box-Jenkins,2016-12-01 00:00:00,1,1.4471669469336979,2.7794943746150285,1.3323274276813306
"ARIMA(2,1,2)",Box-Jenkins,2016-12-01 00:00:00,1,1.4471669469336979,2.6133116934700062,1.1661447465363084
